x,Curve1
0.00207011,84.372
0.0134579,85.9716
0.0192033,87.9976
0.0287445,90.5569
0.0421354,94.9289
0.0517169,98.4479
0.0670169,103.353
0.0860413,107.085
0.103166,110.498
0.122181,114.017
0.135527,117.322
0.152611,119.775
0.165854,120.628
0.186578,119.882
0.203487,118.175
0.218452,115.083
0.237128,110.498
0.253894,105.379
0.266972,102.287
0.274448,100.581
0.287611,99.5142
0.30655,101.22
0.323594,102.713
0.333073,103.78
0.342533,104.419
0.357583,103.353
0.374533,102.607
0.387718,102.073
0.40664,103.353
0.41991,104.846
0.427506,106.019
0.442614,106.339
0.459555,105.379
0.468908,103.46
0.48204,101.647
0.498927,99.4076
0.540369,97.8081
0.574318,97.4882
0.602616,97.3815
0.63276,96.3152
0.664772,94.8223
0.706192,92.6896
0.749535,91.41
0.80418,89.7038
0.82866,88.5308
0.855025,87.3578
0.887043,85.9716
0.902079,84.5853
0.937924,84.4787
0.960552,84.1588
0.975601,83.0924
0.996365,83.3057
